Time	Oxygen	Wind_GEOMAR	Wind_Dir_GEOMAR
1536072642	-0.523992	0.138616	-0.76272
1536073173	-0.536201	0.176427	-0.734628
1536073704	-0.545061	0.121346	-0.785957
1536074236	-0.548266	0.0855036	-0.835044
1536074767	-0.550005	0.0348453	-0.891494
1536075298	-0.549822	-0.00124225	-0.869785
1536075830	-0.556784	0.0586734	-0.915151
1536076361	-0.56171	0.0546973	-0.991876
1536076892	-0.57327	0.0709059	-0.861943
1536077424	-0.580866	0.08087	-0.934006
1536077955	-0.573373	0.0885432	-0.963426
1536078486	-0.562828	0.132353	-0.827519
1536079018	-0.565412	0.116379	-0.818714
1536079549	-0.56056	0.114054	-0.796874
1536080080	-0.559835	0.151485	-0.835974
1536080612	-0.55456	0.184754	-0.839869
1536081143	-0.550593	0.162138	-0.803288
1536081674	-0.552413	0.096412	-0.854505
1536082206	-0.547646	0.0856874	-0.840934
1536082737	-0.542244	0.101576	-0.824979
1536083268	-0.54892	0.110781	-0.788869
1536083800	-0.55504	0.0750279	-0.839887
1536084331	-0.558494	0.066578	-0.881129
1536084863	-0.560093	0.0498598	-0.884242
1536085394	-0.562728	0.0222795	-0.864222
1536085925	-0.561227	0.0424439	-0.852222
1536086457	-0.558174	0.0444187	-0.803016
1536086988	-0.561548	0.0164339	-0.796607
1536087519	-0.568259	-0.0238228	-0.811957
1536088051	-0.584321	-0.0526669	-0.871703
1536088582	-0.594453	-0.0371519	-0.9093
1536089113	-0.593432	-0.0324992	-0.914873
1536089645	-0.587483	-0.0557899	-0.911437
1536090176	-0.575383	-0.0394924	-0.897874
1536090707	-0.570358	-0.0352563	-0.901412
1536091239	-0.575963	-0.0616361	-0.903237
1536091770	-0.578037	-0.0391184	-0.904945
1536092301	-0.574331	-0.0527559	-0.898077
1536092833	-0.57538	-0.0526283	-0.865334
1536093364	-0.585081	-0.0639851	-0.872711
1536093895	-0.585355	-0.0443953	-0.899926
1536094427	-0.565944	-0.0384936	-0.903912
1536094958	-0.567132	-0.0497436	-0.895102
1536095490	-0.57319	-0.0278188	-0.875326
1536096021	-0.57567	-0.0274435	-0.855339
1536096552	-0.581612	-0.0368735	-0.854593
1536097084	-0.586926	-0.0392427	-0.881725
1536097615	-0.575461	-0.0448475	-0.881433
1536098146	-0.577408	-0.067229	-0.803595
1536098678	-0.580432	-0.135543	-0.688899
1536099209	-0.602126	-0.190455	-0.661974
1536099740	-0.622294	-0.198026	-0.602376
1536100272	-0.625772	-0.16948	-0.588616
1536100803	-0.629657	-0.166122	-0.715225
1536101334	-0.619231	-0.161917	-0.766925
1536101866	-0.635809	-0.156458	-0.782514
1536102397	-0.62927	-0.154016	-0.827175
1536102928	-0.63238	-0.141007	-0.839608
1536103460	-0.633629	-0.122961	-0.846969
1536103991	-0.627921	-0.138908	-0.847003
1536104522	-0.60864	-0.165484	-0.773893
